TagID,Corner,CameraCombos,NumCameras,Expected_X,Expected_Y,Expected_Z,Calc_X,Error_X,Calc_Y,Error_Y,Calc_Z,Error_Z,Total_Error_cm,Status
16,0,camWest_SINGLE_CAM,1,81.00,3.00,130.00,79.59,1.41,2.91,0.09,133.01,3.01,3.32,SINGLE_CAM_ESTIMATE
16,1,camWest_SINGLE_CAM,1,81.50,3.00,151.50,79.99,1.51,2.80,0.20,155.28,3.78,4.07,SINGLE_CAM_ESTIMATE
16,2,camWest_SINGLE_CAM,1,103.00,3.00,151.50,101.86,1.14,3.05,0.05,154.97,3.47,3.65,SINGLE_CAM_ESTIMATE
16,3,camWest_SINGLE_CAM,1,102.50,3.00,130.00,101.45,1.05,3.12,0.12,132.67,2.67,2.87,SINGLE_CAM_ESTIMATE
17,0,camNorth+camSouth,2,328.50,0.00,100.00,326.25,2.25,-1.03,1.03,101.73,1.73,3.03,OK
17,0,camNorth+camWest,2,328.50,0.00,100.00,329.95,1.45,2.94,2.94,102.99,2.99,4.44,OK
17,0,camSouth+camWest,2,328.50,0.00,100.00,331.51,3.01,-1.01,1.01,102.08,2.08,3.79,OK
17,0,camNorth+camSouth+camWest,3,328.50,0.00,100.00,329.24,0.74,0.30,0.30,102.27,2.27,2.40,OK
17,1,camNorth+camSouth,2,328.50,0.00,78.50,326.29,2.21,-1.05,1.05,79.80,1.30,2.77,OK
17,1,camNorth+camWest,2,328.50,0.00,78.50,329.87,1.37,2.32,2.32,81.02,2.52,3.70,OK
17,1,camSouth+camWest,2,328.50,0.00,78.50,331.45,2.95,-0.94,0.94,80.25,1.75,3.55,OK
17,1,camNorth+camSouth+camWest,3,328.50,0.00,78.50,329.20,0.70,0.11,0.11,80.36,1.86,1.99,OK
17,2,camNorth+camSouth,2,340.00,0.00,78.50,338.00,2.00,-1.06,1.06,79.75,1.25,2.59,OK
17,2,camNorth+camWest,2,340.00,0.00,78.50,341.71,1.71,2.37,2.37,81.01,2.51,3.85,OK
17,2,camSouth+camWest,2,340.00,0.00,78.50,343.22,3.22,-0.94,0.94,80.30,1.80,3.81,OK
17,2,camNorth+camSouth+camWest,3,340.00,0.00,78.50,340.98,0.98,0.12,0.12,80.36,1.86,2.10,OK
17,3,camNorth+camSouth,2,340.00,0.00,100.00,337.96,2.04,-1.05,1.05,101.68,1.68,2.85,OK
17,3,camNorth+camWest,2,340.00,0.00,100.00,341.73,1.73,2.89,2.89,102.97,2.97,4.49,OK
17,3,camSouth+camWest,2,340.00,0.00,100.00,343.22,3.22,-1.00,1.00,102.10,2.10,3.97,OK
17,3,camNorth+camSouth+camWest,3,340.00,0.00,100.00,340.97,0.97,0.28,0.28,102.25,2.25,2.47,OK
18,0,camSouth_SINGLE_CAM,1,369.00,0.00,193.00,368.49,0.51,-1.60,1.60,194.09,1.09,2.00,SINGLE_CAM_ESTIMATE
18,1,camSouth_SINGLE_CAM,1,369.00,0.00,171.50,368.61,0.39,-1.46,1.46,172.37,0.87,1.74,SINGLE_CAM_ESTIMATE
18,2,camSouth_SINGLE_CAM,1,390.50,0.00,171.50,390.15,0.35,-1.43,1.43,172.30,0.80,1.68,SINGLE_CAM_ESTIMATE
18,3,camSouth_SINGLE_CAM,1,390.50,0.00,193.00,390.04,0.46,-1.56,1.56,194.01,1.01,1.92,SINGLE_CAM_ESTIMATE
19,0,camNorth+camSouth,2,270.50,0.00,90.50,267.04,3.46,-0.91,0.91,92.29,1.79,4.00,OK
19,0,camNorth+camWest,2,270.50,0.00,90.50,270.13,0.37,2.22,2.22,93.32,2.82,3.61,OK
19,0,camSouth+camWest,2,270.50,0.00,90.50,272.10,1.60,-1.03,1.03,92.02,1.52,2.44,OK
19,0,camNorth+camSouth+camWest,3,270.50,0.00,90.50,269.75,0.75,0.09,0.09,92.54,2.04,2.18,OK
